forests_2000,forests_2020,trend,forest_loss,desertification_risk,predicted_desertification_risk
8.8,8.8,0.0,86.2,0.4629430719656284,0.4608930296969115
11.1,11.1,0.0,86.2,0.4629430719656284,0.4607771584760062
33.3,33.3,0.0,86.2,0.4629430719656284,0.46068482272348
15.8,11.7,-25.9,112.1,0.6020408163265306,0.601411923746577
16.4,16.7,1.8,84.4,0.45327604726100973,0.45085686852036966
4.4,4.5,2.3,83.9,0.45059076262083786,0.44868043993715323
12.2,13.2,8.2,78.0,0.4189044038668099,0.4164036673256891
60.6,51.6,-14.9,101.10000000000001,0.5429645542427498,0.5387046393364326
33.1,33.9,2.4,83.8,0.45005370569280345,0.4479492608465735
58.5,56.9,-2.7,88.9,0.47744360902255645,0.4764307059830689
7.8,11.6,48.7,37.5,0.2013963480128894,0.20377028913916628
6.8,8.4,23.5,62.7,0.33673469387755106,0.33463286553723604
36.3,36.3,0.0,86.2,0.4629430719656284,0.46081508323199916
55.7,52.4,-5.9,92.10000000000001,0.49462943071965637,0.4925320228341924
37.9,46.7,23.2,63.0,0.33834586466165417,0.34084399244427244
41.5,41.6,0.2,86.0,0.46186895810955964,0.46007424666645436
2.5,2.5,0.0,86.2,0.4629430719656284,0.46131142788511903
31.9,31.2,-2.2,88.4,0.4747583243823846,0.4723520961987705
1.0,1.0,0.0,86.2,0.4629430719656284,0.46143270080975174
63.3,60.3,-4.7,90.9,0.48818474758324387,0.4869188194543138
47.5,45.1,-5.1,91.3,0.49033297529538133,0.4880673030223298
