forests_2000,forests_2020,trend,forest_loss,desertification_risk,predicted_risk
1.0,0.9,-10.0,96.2,0.5166487647690655,0.5177469199368364
27.3,23.7,-13.2,99.4,0.5338345864661654,0.5326476213694559
72.4,72.6,0.3,85.9,0.4613319011815253,0.46096911737372886
12.2,12.2,0.0,86.2,0.4629430719656284,0.460162999468888
37.7,39.7,5.3,80.9,0.4344790547798067,0.43062835705920166
69.5,53.0,-23.7,109.9,0.5902255639097745,0.5834957307072973
39.8,40.1,0.8,85.4,0.45864661654135347,0.45505336578313144
5.9,4.8,-18.6,104.80000000000001,0.5628356605800215,0.5660148708076446
86.0,90.0,4.7,81.5,0.4377013963480129,0.44424318968579124
59.8,56.8,-5.0,91.2,0.489795918367347,0.4866360631960439
80.1,79.2,-1.1,87.3,0.46885069817400643,0.4693092502234839
57.9,40.5,-30.1,116.30000000000001,0.6245972073039743,0.6185807241025746
58.8,56.5,-3.9,90.10000000000001,0.48388829215896895,0.4808262918534754
24.5,24.1,-1.6,87.8,0.4715359828141783,0.4684198041407344
74.5,74.5,0.0,86.2,0.4629430719656284,0.46283071931960534
29.6,31.0,4.7,81.5,0.4377013963480129,0.43355826652139395
35.9,36.2,0.8,85.4,0.45864661654135347,0.4549664649785307
48.4,56.0,15.7,70.5,0.37862513426423205,0.37770224746047787
67.1,64.4,-4.0,90.2,0.48442534908700324,0.4819231711629396
10.5,11.8,12.4,73.8,0.3963480128893663,0.3908426779783434
36.4,39.2,7.7,78.5,0.42158968850698175,0.4175993353595623
27.7,30.1,8.7,77.5,0.41621911922663807,0.41160129815737306
49.4,49.8,0.8,85.4,0.45864661654135347,0.45546446697750037
11.6,11.2,-3.4,89.60000000000001,0.4812030075187971,0.479354981815763
8.5,8.5,0.0,86.2,0.4629430719656284,0.4604316719086322
5.1,5.1,0.0,86.2,0.4629430719656284,0.46071179417340724
42.3,42.3,0.0,86.2,0.4629430719656284,0.45942340735930587
34.4,34.0,-1.2,87.4,0.4693877551020409,0.4658949305613345
24.8,24.8,0.0,86.2,0.4629430719656284,0.4595221069126735
7.3,5.3,-27.4,113.6,0.6100966702470462,0.6155931285911056
73.2,73.2,0.0,86.2,0.4629430719656284,0.46258149537749943
60.5,57.1,-5.6,91.8,0.4930182599355532,0.4898054397538584
16.7,16.7,0.0,86.2,0.4629430719656284,0.45988541720919096
60.8,54.1,-11.0,97.2,0.5220193340494093,0.5181375322310303
0.5,0.5,0.0,86.2,0.4629430719656284,0.4611444010938096
46.0,41.9,-8.9,95.10000000000001,0.5107411385606875,0.5074419618946764
28.1,31.1,10.7,75.5,0.4054779806659506,0.4007112506977069
73.3,73.3,0.0,86.2,0.4629430719656284,0.46260031359695386
40.6,35.1,-13.5,99.7,0.5354457572502686,0.5327991820698122
25.4,21.7,-14.6,100.8,0.5413533834586466,0.5406769245935492
10.9,10.9,0.0,86.2,0.4629430719656284,0.4602531917682405
39.5,40.1,1.5,84.7,0.45488721804511284,0.45123806316001946
61.2,61.5,0.5,85.7,0.4602577873254565,0.45817743859915516
90.7,90.1,-0.7,86.9,0.466702470461869,0.46984411172224716
12.0,9.5,-20.8,107.0,0.5746509129967777,0.5775383516272964
14.7,14.1,-4.1,90.3,0.4849624060150376,0.48303888193360667
11.3,11.3,0.0,86.2,0.4629430719656284,0.4602249587215945
34.3,37.2,8.5,77.7,0.4172932330827068,0.41312200929406373
34.5,34.2,-0.9,87.10000000000001,0.4677765843179378,0.4642532850828869
1.5,1.7,13.3,72.9,0.391514500537057,0.38643626002370773
11.8,9.9,-16.1,102.30000000000001,0.5494092373791623,0.551042500560381
98.3,97.4,-0.9,87.10000000000001,0.4677765843179378,0.47288716720783164
69.1,68.7,-0.6,86.8,0.4661654135338346,0.4648577978301803
30.3,32.1,5.9,80.3,0.4312567132116004,0.4270076851154086
2.4,2.8,16.7,69.5,0.3732545649838883,0.3674685726619783
2.9,3.1,6.9,79.3,0.42588614393125673,0.4220592333780348
37.2,38.9,4.6,81.60000000000001,0.4382384532760473,0.4343904822786394
63.8,61.9,-3.0,89.2,0.47905477980665956,0.47646681979071553
23.3,22.2,-4.7,90.9,0.48818474758324387,0.48573994582704955
12.4,12.4,0.0,86.2,0.4629430719656284,0.4601495240673663
46.1,44.5,-3.5,89.7,0.48174006444683143,0.4783188956663148
4.3,4.5,4.7,81.5,0.4377013963480129,0.4342940553065068
26.2,28.9,10.3,75.9,0.4076262083780881,0.40276674288640624
8.8,8.8,0.0,86.2,0.4629430719656284,0.4604085035451549
11.1,11.1,0.0,86.2,0.4629430719656284,0.4602390215961295
33.3,33.3,0.0,86.2,0.4629430719656284,0.45934432672153414
15.8,11.7,-25.9,112.1,0.6020408163265306,0.6054912283931334
16.4,16.7,1.8,84.4,0.45327604726100973,0.4498222795628376
4.4,4.5,2.3,83.9,0.45059076262083786,0.44779817683563516
12.2,13.2,8.2,78.0,0.4189044038668099,0.41419902368985106
60.6,51.6,-14.9,101.10000000000001,0.5429645542427498,0.5386197090090526
33.1,33.9,2.4,83.8,0.45005370569280345,0.44620881418533326
58.5,56.9,-2.7,88.9,0.47744360902255645,0.47454435519843263
7.8,11.6,48.7,37.5,0.2013963480128894,0.19689275643808346
6.8,8.4,23.5,62.7,0.33673469387755106,0.3297114933670678
36.3,36.3,0.0,86.2,0.4629430719656284,0.45933754329830195
55.7,52.4,-5.9,92.10000000000001,0.49462943071965637,0.4912574140374435
37.9,46.7,23.2,63.0,0.33834586466165417,0.33623962874954394
41.5,41.6,0.2,86.0,0.46186895810955964,0.45831021309871245
2.5,2.5,0.0,86.2,0.4629430719656284,0.4609484670860064
31.9,31.2,-2.2,88.4,0.4747583243823846,0.47144588246714475
1.0,1.0,0.0,86.2,0.4629430719656284,0.46109425611319554
63.3,60.3,-4.7,90.9,0.48818474758324387,0.48526800652617846
47.5,45.1,-5.1,91.3,0.49033297529538133,0.4869094840636586
