forests_2000,forests_2020,trend,forest_loss,desertification_risk,predicted_risk
14.7,14.1,-4.1,90.3,0.4849624060150376,0.4838268199516168
11.3,11.3,0.0,86.2,0.4629430719656284,0.46140080831760444
34.3,37.2,8.5,77.7,0.4172932330827068,0.41526466315663296
34.5,34.2,-0.9,87.10000000000001,0.4677765843179378,0.466010076928718
1.5,1.7,13.3,72.9,0.391514500537057,0.38870833480250966
11.8,9.9,-16.1,102.30000000000001,0.5494092373791623,0.5500544235649851
98.3,97.4,-0.9,87.10000000000001,0.4677765843179378,0.47059262764885934
69.1,68.7,-0.6,86.8,0.4661654135338346,0.46577245783709187
30.3,32.1,5.9,80.3,0.4312567132116004,0.4291225413015996
2.4,2.8,16.7,69.5,0.3732545649838883,0.3701114214782939
2.9,3.1,6.9,79.3,0.42588614393125673,0.42373927218981167
37.2,38.9,4.6,81.60000000000001,0.4382384532760473,0.4363742067405693
63.8,61.9,-3.0,89.2,0.47905477980665956,0.47801333422174147
23.3,22.2,-4.7,90.9,0.48818474758324387,0.48683711282561903
12.4,12.4,0.0,86.2,0.4629430719656284,0.46136737082247103
46.1,44.5,-3.5,89.7,0.48174006444683143,0.48013585528491065
4.3,4.5,4.7,81.5,0.4377013963480129,0.43578061262145473
26.2,28.9,10.3,75.9,0.4076262083780881,0.40517548683577986
8.8,8.8,0.0,86.2,0.4629430719656284,0.46148464848572046
11.1,11.1,0.0,86.2,0.4629430719656284,0.4614071139632825
33.3,33.3,0.0,86.2,0.4629430719656284,0.4611303177055063
15.8,11.7,-25.9,112.1,0.6020408163265306,0.6035766022235398
16.4,16.7,1.8,84.4,0.45327604726100973,0.451395374229722
4.4,4.5,2.3,83.9,0.45059076262083786,0.44898563310222517
12.2,13.2,8.2,78.0,0.4189044038668099,0.41639277551956333
60.6,51.6,-14.9,101.10000000000001,0.5429645542427498,0.5410894965983427
33.1,33.9,2.4,83.8,0.45005370569280345,0.44812921165333064
58.5,56.9,-2.7,88.9,0.47744360902255645,0.4762158165562772
7.8,11.6,48.7,37.5,0.2013963480128894,0.1993781022606621
6.8,8.4,23.5,62.7,0.33673469387755106,0.3331017264338839
36.3,36.3,0.0,86.2,0.4629430719656284,0.4611595531897208
55.7,52.4,-5.9,92.10000000000001,0.49462943071965637,0.4931380130337309
37.9,46.7,23.2,63.0,0.33834586466165417,0.337533852851695
41.5,41.6,0.2,86.0,0.46186895810955964,0.46016671056026703
2.5,2.5,0.0,86.2,0.4629430719656284,0.4617449076939816
31.9,31.2,-2.2,88.4,0.4747583243823846,0.47306409308479885
1.0,1.0,0.0,86.2,0.4629430719656284,0.461817393497712
63.3,60.3,-4.7,90.9,0.48818474758324387,0.4869859633567578
47.5,45.1,-5.1,91.3,0.49033297529538133,0.4887359523639996
